Image,Article,Colour,Size,Pair,Price,Rate List Price,Thumbnail,OCR JSON
"IMG-20251003-WA0112.jpg","Thar 5","D.Gray","6*9 7*10","24","","","",""
"IMG-20251003-WA0113.jpg","Thar","Lgry/Bk","6/9-7/10","10","","","",""
"IMG-20251003-WA0114.jpg","Thar","Lgry","6/9-7/10","24","","","",""
"IMG-20251003-WA0115.jpg","Thar 03","Navy","6*9 7*10","24","","","",""
"IMG-20251003-WA0116.jpg","Thar-05","White","6x9 7x10","24","","","",""
"IMG-20251003-WA0117.jpg","Artical","Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0118.jpg","Jaguar","Wt/Pista/Org","6/9-7/10","24","","","",""
"IMG-20251003-WA0119.jpg","Jaguar","Navy","6/9-7/10","24","","","",""
"IMG-20251003-WA0120.jpg","Jaguar","Black","6/9-7/10","24","","","",""
"IMG-20251003-WA0121.jpg","Artical","Navy","6x9 7x10","24","","","",""
"IMG-20251003-WA0122.jpg","Jaquar-03","Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0123.jpg","Jaquar-03","White","6x9 7x10","24","","","",""
"IMG-20251003-WA0124.jpg","Jaguar 02","Black","6*9 7*10","24","","","",""
"IMG-20251003-WA0125.jpg","Artical","L.Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0126.jpg","0","0.Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0127.jpg","Bullet","White","6/9-7/10","24","","","",""
"IMG-20251003-WA0128.jpg","Cites","Black/","6x9 7x10","24","","","",""
"IMG-20251003-WA0129.jpg","Bullet","Tblue","6/9-7/10","24","","","",""
"IMG-20251003-WA0130.jpg","Bullet","Black","6/9-7/10","24","","","",""
"IMG-20251003-WA0131.jpg","Jaguar","Wt/Org","6/9-7/10","24","","","",""
"IMG-20251003-WA0132.jpg","Bullet","ha","6/9-7/10","ha","","","",""
"IMG-20251003-WA0133.jpg","Bullet","Navy","6/9-7/10","24","","","",""
"IMG-20251003-WA0134.jpg","Bullet","Lgry/Red","6/9-7/10","24","","","",""
